Timestamp,CUDA,Memory,Encoder,Decoder
15:48:18,77,123,314,434
15:48:20,77,124,444,4321
15:48:23,77,125,574,8208
15:48:25,77,126,704,12095
15:48:27,77,127,834,15982
15:48:30,77,128,964,19869
15:48:32,77,129,1094,23756
15:48:34,77,130,1224,27643
15:48:37,77,131,1354,31530
15:48:39,77,132,1484,35417
15:48:42,77,133,1614,39304
15:48:44,77,134,1744,43191
15:48:46,77,135,1874,47078
15:48:49,77,136,2004,50965
15:48:51,77,137,2134,54852
15:48:53,77,138,2264,58739
15:48:56,77,139,2394,62626
15:48:58,77,140,2524,66513
15:49:01,77,141,2654,70400
15:49:03,77,142,2784,74287
