IP,Timestamp,GPU,GPU_Memory,Encoder,Decoder
10.82.1.14,16:22:06,45,32,0,0
10.82.1.16,16:22:06,8,6,0,19
10.82.1.15,16:22:06,5,5,0,21
10.82.1.14,16:22:10,14,12,0,0
10.82.1.15,16:22:10,5,5,0,20
10.82.1.16,16:22:11,8,6,0,19
10.82.1.14,16:22:13,10,7,0,18
10.82.1.15,16:22:14,5,5,0,29
10.82.1.16,16:22:15,8,6,0,19
10.82.1.14,16:22:16,9,7,0,19
10.82.1.15,16:22:18,20,12,0,96
10.82.1.16,16:22:19,50,40,0,53
10.82.1.14,16:22:20,9,6,0,14
10.82.1.15,16:22:22,5,5,0,23
10.82.1.16,16:22:23,8,6,0,21
10.82.1.14,16:22:24,9,6,0,12
10.82.1.15,16:22:26,11,12,0,95
10.82.1.16,16:22:27,8,6,0,21
10.82.1.14,16:22:28,9,6,0,12
10.82.1.15,16:22:29,5,5,0,20
10.82.1.16,16:22:31,8,6,0,18
10.82.1.14,16:22:31,9,6,0,13
10.82.1.15,16:22:34,6,6,0,26
10.82.1.14,16:22:35,9,6,0,0
10.82.1.16,16:22:35,8,7,0,20
10.82.1.15,16:22:37,5,5,0,21
10.82.1.14,16:22:39,12,9,0,0
10.82.1.16,16:22:40,8,7,0,20
10.82.1.15,16:22:41,5,5,0,0
10.82.1.14,16:22:42,10,7,0,19
10.82.1.16,16:22:43,8,6,0,20
10.82.1.15,16:22:45,5,5,0,21
10.82.1.14,16:22:46,27,22,0,38
10.82.1.16,16:22:47,8,6,0,19
10.82.1.15,16:22:49,5,5,0,0
10.82.1.14,16:22:50,9,6,0,16
10.82.1.16,16:22:51,8,6,0,20
10.82.1.15,16:22:52,5,5,0,22
10.82.1.14,16:22:53,26,20,0,24
10.82.1.16,16:22:55,7,6,0,19
10.82.1.15,16:22:56,5,5,0,22
10.82.1.14,16:22:57,54,38,0,32
10.82.1.15,16:22:59,5,5,0,20
10.82.1.16,16:23:00,8,6,0,21
10.82.1.14,16:23:01,55,38,0,34
10.82.1.15,16:23:03,17,17,0,40
10.82.1.16,16:23:04,7,6,0,19
10.82.1.14,16:23:05,14,14,0,40
10.82.1.15,16:23:07,5,5,0,23
10.82.1.16,16:23:08,52,41,0,54
10.82.1.14,16:23:09,9,7,0,19
10.82.1.15,16:23:10,5,5,0,23
10.82.1.16,16:23:12,8,6,0,21
10.82.1.14,16:23:12,10,7,0,19
10.82.1.15,16:23:14,5,5,0,22
10.82.1.16,16:23:15,8,6,0,22
10.82.1.14,16:23:16,9,6,0,0
10.82.1.15,16:23:18,5,6,0,21
10.82.1.14,16:23:19,10,6,0,13
10.82.1.16,16:23:19,8,6,0,20
10.82.1.15,16:23:22,7,8,0,53
10.82.1.14,16:23:23,10,6,0,11
10.82.1.16,16:23:24,8,6,0,20
10.82.1.14,16:23:26,10,6,0,13
10.82.1.15,16:23:26,5,5,0,21
10.82.1.16,16:23:27,8,6,0,20
10.82.1.14,16:23:29,9,6,0,13
10.82.1.15,16:23:30,12,13,0,89
10.82.1.16,16:23:31,8,6,0,20
10.82.1.14,16:23:32,3,1,0,0
